species,condition,day,pH,class,mean.CFUs,mean.measured.pH,med.CFUs,med.measured.pH,mean.log.CFUs,med.log.CFUs,dayChar
JB5,135E,0,7,bacteria,314.2,7.1,314,7.1,2.4972061807039547,2.496929648073215,0
JB5,135E,3,5,bacteria,2738000,6.6,516000,6.57,6.437433443797971,5.712649701627211,3
JB5,135E,3,7,bacteria,4454000,7.218,460000,7.12,6.64875021269802,5.662757831681574,3
JB5,135E,10,5,bacteria,1055000000,7.065,920000000,7,9.023252459633712,8.963787827345556,10
JB5,135E,10,7,bacteria,1252000000,7.69,1050000000,7.62,9.09760432887441,9.021189299069938,10
JB5,135E,21,5,bacteria,1770000000,7.684,2390000000,7.82,9.247973266361807,9.378397900948137,21
JB5,135E,21,7,bacteria,3598000000,8.032,3300000000,7.99,9.556061159009532,9.518513939877888,21
JB5,BC10,0,5,bacteria,314.2,5.86,314,5.86,2.4972061807039547,2.496929648073215,0
JB5,BC10,0,7,bacteria,314.2,7.1,314,7.1,2.4972061807039547,2.496929648073215,0
JB5,BC10,3,5,bacteria,158960,6.0520000000000005,4200,6.04,5.201287854101759,3.6232492903979003,3
JB5,BC10,3,7,bacteria,823800,7.208,530000,7.14,5.9158217876203985,5.724275869600789,3
JB5,BC10,10,5,bacteria,8768000,6.548,7300000,6.45,6.942900541140294,6.863322860120456,10
JB5,BC10,10,7,bacteria,1276000000,7.678,1140000000,7.59,9.105850674385144,9.056904851336473,10
JB5,BC10,21,5,bacteria,2134500000,7.0600000000000005,2310000000,7.215,9.329296159139966,9.363611979892145,21
JB5,BC10,21,7,bacteria,3330000000,7.92,3260000000,7.76,9.52244423350632,9.51321760006794,21
JB5,BC9,0,5,bacteria,314.2,5.86,314,5.86,2.4972061807039547,2.496929648073215,0
JB5,BC9,0,7,bacteria,314.2,7.1,314,7.1,2.4972061807039547,2.496929648073215,0
JB5,BC9,3,5,bacteria,500,6.005,600,6.035,2.6989700043360187,2.7781512503836434,3
JB5,BC9,3,7,bacteria,2378000,7.224,2250000,7.2,6.376211850282672,6.352182518111363,3
JB5,BC9,10,5,bacteria,2140,6.112,1600,6.09,3.330413773349191,3.2041199826559246,10
JB5,BC9,10,7,bacteria,1706000000,7.628,1570000000,7.57,9.231979026831505,9.195899652409233,10
JB5,BC9,21,5,bacteria,1075,6.005,1000,6.005,3.031408464251624,3,21
JB5,BC9,21,7,bacteria,3270000000,7.944,3190000000,7.87,9.514547752660286,9.503790683057181,21
JB5,JB7,0,5,bacteria,314.2,5.86,314,5.86,2.4972061807039547,2.496929648073215,0
JB5,JB7,0,7,bacteria,314.2,7.1,314,7.1,2.4972061807039547,2.496929648073215,0
JB5,JB7,3,5,bacteria,352,6.022,340,6.03,2.546542663478131,2.531478917042255,3
