"spec","cond","pH","rep","day","count","dilution","cfus","measured.pH","class"
"JB5","community",7,1,10,89,-5,8.9e+07,6.48,"bacteria"
"JB7","alone",7,1,10,191,-6,1.91e+09,7.56,"bacteria"
"JB7","BC9",7,1,10,68,-6,6.8e+08,7.53,"bacteria"
"JB7","BC10",7,1,10,209,-6,2.09e+09,7.63,"bacteria"
"JB7","JB5",7,1,10,163,-6,1.63e+09,7.66,"bacteria"
"JB7","135E",7,1,10,274,-6,2.74e+09,7.63,"bacteria"
"JB7","JBC",7,1,10,482,-4,48200000,6.95,"bacteria"
"JB7","JB370",7,1,10,103,-6,1.03e+09,7.79,"bacteria"
"JB7","community",7,1,10,21,-5,2.1e+07,6.48,"bacteria"
"135E","alone",7,1,10,53,-4,5300000,7.21,"fungi"
"135E","BC9",7,1,10,33,-4,3300000,7.6,"fungi"
"135E","BC10",7,1,10,79,-4,7900000,7.64,"fungi"
"135E","JB5",7,1,10,100,-4,1e+07,7.55,"fungi"
"135E","JB7",7,1,10,100,-4,1e+07,7.63,"fungi"
"135E","JBC",7,1,10,0,0,0,6.91,"fungi"
"135E","JB370",7,1,10,210,-3,2100000,7.68,"fungi"
"135E","community",7,1,10,2,-2,2000,6.48,"fungi"
"JBC","alone",7,1,10,293,-4,29300000,7.15,"fungi"
"JBC","BC9",7,1,10,171,-4,17100000,6.69,"fungi"
"JBC","BC10",7,1,10,238,-4,23800000,6.62,"fungi"
"JBC","JB5",7,1,10,301,-4,30100000,6.99,"fungi"
"JBC","JB7",7,1,10,292,-4,29200000,6.95,"fungi"
"JBC","135E",7,1,10,36,-6,3.6e+08,6.91,"fungi"
"JBC","JB370",7,1,10,49,-5,4.9e+07,6.96,"fungi"
"JBC","community",7,1,10,16,-5,1.6e+07,6.48,"fungi"
"JB370","alone",7,1,10,16,-3,160000,7.71,"fungi"
"JB370","BC9",7,1,10,16,-2,16000,7.82,"fungi"
"JB370","BC10",7,1,10,81,-2,81000,7.78,"fungi"
"JB370","JB5",7,1,10,61,-2,61000,7.79,"fungi"
"JB370","JB7",7,1,10,1,-3,10000,7.79,"fungi"
"JB370","135E",7,1,10,21,-2,21000,7.68,"fungi"
"JB370","community",7,1,10,2,0,20,6.48,"fungi"
"BC9","alone",5,1,21,30,-5,3e+07,5.91,"bacteria"
"BC9","BC10",5,1,21,219,-4,21900000,6.57,"bacteria"
"BC9","JB5",5,1,21,35,-5,3.5e+07,5.88,"bacteria"
"BC9","JB7",5,1,21,28,-5,2.8e+07,5.87,"bacteria"
"BC9","135E",5,1,21,132,-5,1.32e+08,6.51,"bacteria"
"BC9","JBC",5,1,21,2,-5,2e+06,7.06,"bacteria"
"BC9","JB370",5,1,21,297,-5,2.97e+08,6.63,"bacteria"
"BC9","community",5,1,21,12,-4,1200000,7.09,"bacteria"
"BC10","alone",5,1,21,94,-5,9.4e+07,6.58,"bacteria"
"BC10","BC9",5,1,21,87,-5,8.7e+07,6.57,"bacteria"
"BC10","JB7",5,1,21,102,-5,1.02e+08,7,"bacteria"
"BC10","JB370",5,1,21,130,-5,1.3e+08,6.76,"bacteria"
"BC10","community",5,1,21,190,-4,1.9e+07,7.09,"bacteria"
"JB5","alone",5,1,21,341,-4,34100000,5.8,"bacteria"
"JB5","BC9",5,1,21,110,0,1100,5.88,"bacteria"
"JB5","BC10",5,1,21,18,-5,1.8e+07,5.82,"bacteria"
"JB5","JB7",5,1,21,242,-2,242000,5.84,"bacteria"
"JB5","135E",5,1,21,86,-6,8.6e+08,7.21,"bacteria"
"JB5","JBC",5,1,21,128,0,1280,7,"bacteria"
"JB5","JB370",5,1,21,133,-5,1.33e+08,6.79,"bacteria"
"JB5","community",5,1,21,26,-4,2600000,7.09,"bacteria"
"JB7","alone",5,1,21,7,0,70,5.83,"bacteria"
"JB7","BC9",5,1,21,1,-1,100,5.87,"bacteria"
"JB7","BC10",5,1,21,149,-6,1.49e+09,7,"bacteria"
"JB7","JB5",5,1,21,16,-1,1600,5.84,"bacteria"
"JB7","135E",5,1,21,148,-6,1.48e+09,7.24,"bacteria"
"JB7","JBC",5,1,21,10,0,100,7.11,"bacteria"
"JB7","JB370",5,1,21,267,-4,26700000,6.87,"bacteria"
"JB7","community",5,1,21,5,-4,5e+05,7.09,"bacteria"
"135E","alone",5,1,21,277,-4,27700000,6.57,"fungi"
"135E","BC9",5,1,21,336,-4,33600000,6.51,"fungi"
"135E","JB5",5,1,21,164,-4,16400000,7.21,"fungi"
"135E","JB7",5,1,21,164,-4,16400000,7.24,"fungi"
"135E","JBC",5,1,21,10,-1,1000,7.24,"fungi"
"135E","JB370",5,1,21,109,-4,10900000,6.68,"fungi"
"135E","community",5,1,21,0,0,0,7.09,"fungi"
"JBC","alone",5,1,21,71,-5,7.1e+07,7.08,"fungi"
"JBC","BC9",5,1,21,57,-5,5.7e+07,7.06,"fungi"
"JBC","BC10",5,1,21,46,-5,4.6e+07,7.08,"fungi"
"JBC","JB5",5,1,21,67,-5,6.7e+07,7,"fungi"
"JBC","JB7",5,1,21,63,-5,6.3e+07,7.11,"fungi"
"JBC","135E",5,1,21,24,-5,2.4e+07,7.24,"fungi"
"JBC","JB370",5,1,21,48,-5,4.8e+07,7.28,"fungi"
"JBC","community",5,1,21,46,-5,4.6e+07,7.09,"fungi"
"JB370","alone",5,1,21,80,-4,8e+06,6.79,"fungi"
"JB370","BC9",5,1,21,54,-4,5400000,6.63,"fungi"
"JB370","BC10",5,1,21,18,-4,1800000,6.76,"fungi"
"JB370","JB5",5,1,21,98,-4,9800000,6.79,"fungi"
"JB370","JB7",5,1,21,65,-4,6500000,6.87,"fungi"
"JB370","135E",5,1,21,13,-4,1300000,6.68,"fungi"
"JB370","community",5,1,21,30,-1,3000,7.09,"fungi"
"BC9","alone",7,1,21,19,-6,1.9e+08,7.37,"bacteria"
"BC9","BC10",7,1,21,54,-5,5.4e+07,7.39,"bacteria"
"BC9","JB5",7,1,21,33,-6,3.3e+08,7.39,"bacteria"
"BC9","JB7",7,1,21,54,-6,5.4e+08,7.48,"bacteria"
"BC9","135E",7,1,21,272,-5,2.72e+08,7.31,"bacteria"
"BC9","JBC",7,1,21,25,-5,2.5e+07,7.49,"bacteria"
"BC9","JB370",7,1,21,192,-5,1.92e+08,6.98,"bacteria"
"BC9","community",7,1,21,42,-5,4.2e+07,7.4,"bacteria"
"BC10","alone",7,1,21,160,-5,1.6e+08,7.35,"bacteria"
"BC10","BC9",7,1,21,18,-6,1.8e+08,7.39,"bacteria"
"BC10","JB5",7,1,21,214.5,-5,2.15e+08,7.38,"bacteria"
"BC10","JB7",7,1,21,207,-5,2.07e+08,7.55,"bacteria"
"BC10","JBC",7,1,21,114,-5,1.14e+08,7.35,"bacteria"
"BC10","JB370",7,1,21,66,-5,6.6e+07,7.11,"bacteria"
"BC10","community",7,1,21,101,-5,1.01e+08,7.4,"bacteria"
"JB5","alone",7,1,21,43,-7,4.3e+09,7.51,"bacteria"
"JB5","BC9",7,1,21,158,-6,1.58e+09,7.39,"bacteria"
"JB5","BC10",7,1,21,184,-6,1.84e+09,7.38,"bacteria"
"JB5","JB7",7,1,21,190,-6,1.9e+09,7.63,"bacteria"
"JB5","135E",7,1,21,330,-6,3.3e+09,7.52,"bacteria"
"JB5","JBC",7,1,21,489,-4,48900000,7.53,"bacteria"
"JB5","JB370",7,1,21,107,-6,1.07e+09,6.98,"bacteria"
"JB5","community",7,1,21,165,-5,1.65e+08,7.4,"bacteria"
"JB7","alone",7,1,21,143,-6,1.43e+09,7.74,"bacteria"
"JB7","BC9",7,1,21,212,-6,2.12e+09,7.48,"bacteria"
"JB7","BC10",7,1,21,243,-6,2.43e+09,7.55,"bacteria"
"JB7","JB5",7,1,21,142,-6,1.42e+09,7.63,"bacteria"
"JB7","135E",7,1,21,372.5,-6,3.73e+09,7.39,"bacteria"
